	of
a	a
a	about
a	and
a	are
a	area
a	as
a	attack
a	audit
a	b
a	baby
a	back
a	background
a	backpack
a	bad
a	bag
a	bail
a	bailiff
a	bakersfield
a	balance
a	balanced
a	ballot
a	ban
a	bandana
a	bank
a	bankruptcy
a	baptism
a	bar
a	barrage
a	barrier
a	base
a	baseball
a	based
a	bb
a	be
a	beacon
a	bear
a	beautiful
a	bedroom
a	beginning
a	behemoth
a	beneficiary
a	better
a	bicycle
a	bicyclist
a	big
a	bigger
a	bill
a	billion
a	billionaire
a	bionic
a	bird
a	bit
a	bittersweet
a	black
a	blade
a	blond
a	blood
a	bloody
a	blue
a	board
a	boasting
a	body
a	bodyguard
a	bomb
a	bond
a	book
a	border
a	borrowing
a	botched
a	bowling
a	boy
a	bp
a	breach
a	break
a	breakdown
a	brick
a	brief
a	briefing
a	broad
a	broadcast
a	broader
a	broken
a	brooklyn
a	brother
a	brush
a	bucket
a	budgetary
a	building
a	bullet
a	bully
a	bunch
a	burberry
a	burglar
a	burglary
a	burgundy
a	bus
a	business
a	but
a	buzzing
a	byline
a	bypass
a	byproduct
a	cabal
a	cabinet
a	cabriolet
a	cair
a	caldwell
a	california
a	call
a	caller
a	came
a	camera
a	campaign
a	cancer
a	candidate
a	canoga
a	canyon
a	cap
a	captain
a	car
a	carat
a	carport
a	case
a	cash
a	casita
a	catalytic
a	catastrophic
a	catchall
a	cause
a	cautionary
a	celebrated
a	celebrity
a	cell
a	cellphone
a	centralized
a	ceremony
a	certain
a	certified
a	chain
a	challenging
a	champion
a	chance
a	change
a	chaotic
a	character
a	charge
a	chargeable
a	charter
a	chase
a	chatsworth
a	checkbook
a	checkpoint
a	cheering
a	chef
a	chicago
a	child
a	chino
a	choice
a	chokehold
a	christmas
a	chuckle
a	church
a	cia
a	cigarette
a	circle
a	citizen
a	city
a	civil
a	claim
a	claremont
a	clash
a	class
a	clear
a	clearinghouse
a	cliche
a	climate
a	clique
a	close
a	closer
a	cnn
a	co
a	coach
a	coachella
a	coalition
a	code
a	coffee
a	cold
a	collaborative
a	collective
a	college
a	columnist
a	coma
a	combination
a	comforter
a	comic
a	coming
a	command
a	commander
a	comment
a	commercial
a	commission
a	committee
a	common
a	community
a	company
a	comparative
a	compassionate
a	compensatory
a	complaint
a	complex
a	comprehensive
a	computer
a	concentrated
a	concern
a	concussion
a	confidential
a	conflict
a	confrontation
a	connection
a	consequence
a	constant
a	construction
a	container
a	contingent
a	continued
a	continuing
a	contractor
a	controlled
a	controversial
a	convenience
a	conversation
a	convicted
a	conviction
a	coordinated
a	cop
a	core
a	cornucopia
a	corporal
a	correlation
a	corrupt
a	cost
a	costly
a	council
a	count
a	counter
a	counterfeit
a	country
a	county
a	couple
a	court
a	courthouse
a	courtroom
a	cousin
a	coverline
a	credit
a	crevecoeur
a	crib
a	crime
a	crimebo
a	criminal
a	cringe
a	crisp
a	critical
a	crosswalk
a	crowbar
a	crowd
a	crowded
a	cul
a	culinary
a	culture
a	cup
a	curb
a	curfew
a	current
a	customer
a	customized
a	cyber
a	cycle
a	cynical
a	d
a	daily
a	daly
a	dance
a	dangerous
a	darling
a	data
a	database
a	daughter
a	day
a	daytime
a	daze
a	dazzling
a	de
a	dead
a	deadly
a	deal
a	debit
a	dec
a	decade
a	decision
a	decline
a	decrease
a	deep
a	defendant
a	defense
a	definite
a	definition
a	delivered
a	demand
a	democrat
a	denied
a	department
a	deportation
a	deposition
a	deputy
a	desk
a	detailed
a	detained
a	detective
a	detention
a	detroit
a	diamond
a	difference
a	different
a	difficult
a	digital
a	director
a	dirk
a	discussion
a	disgruntled
a	disinterested
a	dispatcher
a	dispensary
a	dispersal
a	disproportionate
a	dispute
a	distant
a	distinct
a	distinctive
a	distraction
a	distressed
a	distribution
a	district
a	disturbance
a	disturbing
a	division
a	divorced
a	do
a	doctor
a	documentary
a	documented
a	dodge
a	doj
a	dollar
a	domestic
a	done
a	door
a	doorstep
a	downtick
a	downtown
a	dozen
a	dr
a	drafts
a	drama
a	dramatic
a	drink
a	drive
a	driver
a	driveway
a	driving
a	drone
a	drop
a	drug
a	duffle
a	dui
a	dunk
a	dwp
a	dysfunctional
a	even
a	event
a	except
a	facebook
a	facility
a	fact
a	faction
a	factor
a	factory
a	faint
a	fair
a	fairly
a	fallacy
a	false
a	family
a	fatal
a	father
a	favorable
a	fear
a	february
a	federal
a	feeling
a	feet
a	felix
a	fellow
a	felon
a	felony
a	female
a	fence
a	feud
a	few
a	fictional
a	field
a	fiery
a	fight
a	fighting
a	filing
a	filipino
a	fill
a	film
a	final
a	financials
a	finding
a	fine
a	fingerprint
a	fire
a	firearm
a	fired
a	firefighter
