of documents 1 of 1
a bachelor s 1 1
a big honor 1 2
a crime and 1 2
a crime byline 1 1
a crime fighting 1 2
a crime is 1 1
a decrease in 1 2
a focus on 1 2
a full analysis 1 2
a group of 2 2
a home when 1 4
a large reduction 1 2
a length words 14 1
a lot less 1 2
a lot of 5 5
a matter of 1 2
a professor at 2 2
a team of 2 2
a way that 1 4
a year old 19 4
abc world news 1 2
about implementing it 1 2
about the content 16 2
about the predictive 1 2
about using the 1 2
acc no qc 1 4
accolade the program 1 2
accolades than we 1 2
across the city 2 1
actual reduction said 1 2
after an earthquake 1 2
after crimes following 1 2
after the first 1 2
after they were 1 2
aftershock after an 1 2
aftershock model to 1 2
again which have 1 2
agencies around the 1 4
ahead of the 1 2
all been named 1 2
all rights reserved 465 8
along with the 1 1
already in newsstands 1 1
already seen a 1 1
also help ease 1 2
also looking into 1 2
among others being 1 2
among the top 1 2
an aftershock after 1 2
an earthquake aftershock 1 2
an earthquake in 1 2
an initial crime 1 2
analysis of the 2 2
analyst for the 1 9
and crime analyst 1 2
and decided to 1 2
and devices that 1 2
and he is 1 4
and holographic mapping 1 2
and how its 1 2
and law enforcement 1 2
and lt bernie 1 2
and motor vehicle 1 2
and on abc 1 2
and provided him 1 2
and regional news 32 4
and santa cruz 1 7
and since then 1 2
and that s 3 2
and the accolades 1 2
and the police 1 4
and we re 1 4
angeles police department 21 4
angeles times last 1 2
annually other inventions 1 2
another accolade the 1 2
apple s siri 1 2
approach mohler about 1 2
are also looking 1 2
are apple s 1 2
are honored to 1 2
are on the 2 2
are part of 2 1
area where the 1 2
around the nation 1 2
as a crime 3 1
as a place 1 1
as he was 1 2
as los angeles 2 1
as one of 2 4
as part of 2 1
as the city 1 5
as the ipad 1 2
as well as 5 3
at a home 2 4
at p m 3 4
at the same 2 4
at the time 3 2
at www santacruzsentinel 1 2
august language english 16 3
bachelor s degree 1 1
bad guys it 1 2
based on earthquake 1 2
based on the 4 4
be able to 2 2
be leveraging technology 1 2
be recognized by 1 2
be so called 1 2
be the first 1 4
became the first 1 2
been named among 1 2
been praised by 1 2
being named as 1 2
being recognized by 1 2
being worked on 1 2
bernardino county sheriff 2 1
bernie escalante visited 1 2
best inventions of 1 2
best new inventions 1 2
big honor but 1 2
bringing the program 1 2
budget cuts a 1 2
burglaries and motor 1 2
burglaries and thefts 1 1
business news december 4 1
business news january 3 2
business news november 7 1
but what s 1 2
by a computer 1 4
by mcclatchy tribune 65 8
by mct information 17 2
by media outlets 1 2
by none other 1 1
by santa clara 1 2
by the los 4 2
by time is 1 2
by time magazine 1 3
by time this 1 2
byline jessica m 1 1
c the santa 1 2
calif at www 1 2
calif distributed by 1 2
calif section state 2 4
calif visit the 1 2
california distributed by 2 4
california november wednesday 1 1
called after crimes 1 2
can also help 1 2
can help equalize 1 2
car and devices 1 2
chief kevin vogel 1 2
chief of police 1 1
city police department 1 2
city s most 1 1
city s police 1 1
clara university s 1 2
code qc copyright 1 4
columnists length words 1 1
com copyright c 16 2
com distributed by 17 2
com load date 24 3
community safer the 1 2
company of documents 1 1
content services offered 16 2
continue to be 1 2
contra costa newspapers 1 2
contra costa times 1 2
copyright contra costa 1 2
copyright international herald 1 1
copyright medianews group 21 1
copyright san jose 1 3
copyright santa cruz 1 4
copyright the new 1 1
costa newspapers all 1 2
costa times california 1 2
county sheriff s 36 1
coverage and the 1 2
crime analyst for 1 8
crime byline by 1 3
crime data from 3 6
crime friend and 1 2
crime in a 1 2
crime in the 4 4
crime news local 1 2
crime types which 1 2
crimes following an 1 2
crimes said zach 1 2
crimes the department 1 2
crimes were down 2 1
crimes will occur 1 4
cruz friend first 1 2
cruz mohler developed 1 2
cruz police department 1 11
cruz police leaders 1 6
cruz predictive policing 2 2
cruz sentinel calif 1 6
cruz sentinel california 1 4
cruz sentinel of 1 4
cruz sentinel scotts 2 4
cruz the city 1 2
cruz the program 1 2
cuts a matter 1 2
d have to 1 1
d processors and 1 2
